frame,time_ms,right_elbow,left_elbow,right_knee,left_knee,right_shoulder,left_shoulder,lmk_11_x,lmk_11_y,lmk_11_z,lmk_12_x,lmk_12_y,lmk_12_z,lmk_13_x,lmk_13_y,lmk_13_z,lmk_14_x,lmk_14_y,lmk_14_z,lmk_15_x,lmk_15_y,lmk_15_z,lmk_16_x,lmk_16_y,lmk_16_z,lmk_17_x,lmk_17_y,lmk_17_z,lmk_18_x,lmk_18_y,lmk_18_z,lmk_19_x,lmk_19_y,lmk_19_z,lmk_20_x,lmk_20_y,lmk_20_z,lmk_21_x,lmk_21_y,lmk_21_z,lmk_22_x,lmk_22_y,lmk_22_z,lmk_23_x,lmk_23_y,lmk_23_z,lmk_24_x,lmk_24_y,lmk_24_z,lmk_25_x,lmk_25_y,lmk_25_z,lmk_26_x,lmk_26_y,lmk_26_z,lmk_27_x,lmk_27_y,lmk_27_z,lmk_28_x,lmk_28_y,lmk_28_z,lmk_29_x,lmk_29_y,lmk_29_z,lmk_30_x,lmk_30_y,lmk_30_z,lmk_31_x,lmk_31_y,lmk_31_z,lmk_32_x,lmk_32_y,lmk_32_z,neck_x,neck_y,neck_z,neck_angle
48,1600,181.0,181.0,181.0,181.0,181.0,181.0,,,,0.5613024532794952,0.8741484880447388,-0.2937704920768738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3573249876499176,0.7273073196411133,0.03689701855182648,1.0943823978304863,0.5993331670761108,-0.038917653262615204,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
49,1633,181.0,181.0,181.0,181.0,181.0,181.0,0.5557696223258972,1.2492302656173706,-1.7602545022964478,0.5560074150562286,0.9523690342903137,-1.9560751914978027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
50,1666,181.0,181.0,181.0,181.0,181.0,181.0,0.6238135099411011,1.123033046722412,-1.506207823753357,0.5282728970050812,0.89815753698349,-1.5131431818008423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0993980169296265,0.8810725808143616,0.01229320652782917,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
51,1700,181.0,181.0,181.0,181.0,181.0,181.0,0.6767870783805847,1.3287639617919922,-2.1543924808502197,0.4793347120285034,0.8653156757354736,-2.022963762283325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
52,1733,181.0,181.0,181.0,181.0,181.0,181.0,0.9980299011804163,1.2075878381729126,-1.8139839172363281,0.4987879991531372,0.8250661492347717,-1.5731394290924072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
53,1766,181.0,181.0,181.0,181.0,181.0,181.0,0.945356260985136,1.1260608434677124,-0.11392351984977722,0.5420783460140228,0.8434612154960632,-0.1805882602930069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.123928114771843,0.6710320711135864,-0.013333325274288654,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
54,1800,181.0,181.0,181.0,181.0,181.0,181.0,0.8041189461946487,0.8201906681060791,-0.9699403643608093,0.22983509302139282,0.6437720060348511,-1.0839821100234985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9479814656078815,0.3539726436138153,0.0167971383780241,0.7154956758022308,0.2809782028198242,-0.019199423491954803,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
55,1833,181.0,181.0,181.0,181.0,181.0,181.0,1.1028455272316933,1.1358898878097534,-1.052553415298462,0.5843949019908905,0.8831696510314941,-0.827639102935791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5607337355613708,0.7042034864425659,-0.04414986073970795,1.2384978830814362,0.591010570526123,0.0420893095433712,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
56,1866,181.0,181.0,181.0,181.0,181.0,181.0,,,,0.6497212946414948,0.9015189409255981,0.2012929767370224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
57,1900,181.0,181.0,181.0,181.0,181.0,181.0,0.65284064412117,0.8238819241523743,-0.9149637222290039,0.11959457397460938,0.6968702673912048,-0.9755018949508667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7700422257184982,0.3777068555355072,-0.010038474574685097,0.5526476204395294,0.32139289379119873,0.0074205962009727955,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
